match_id,hero,role,lane,midas_team,buy_sec,ref_bucket,nw_diff_raw,midas_nw_adv,total_nw,nw_adv_pct_total,nw_adv_pct_buyer,band,band_label,expected_win,actual_win,delta
8716600437,slark,Core,Safelane,dire,485,450,-572,572,24508,2.33,4.56,12,60-65%,0.5801,0,-0.5801
8716600508,winter_wyvern,Support,Offlane,dire,1047,990,-3042,3042,52194,5.83,11.01,13,65-70%,0.6562,0,-0.6562
8716600527,invoker,Core,Mid,radiant,665,630,-798,-798,33256,-2.4,-4.92,7,35-40%,0.4301,1,0.5699
8716600559,ogre_magi,Support,Safelane,radiant,1028,990,5054,5054,58162,8.69,15.99,16,80-85%,0.7951,1,0.2049
8716600683,ogre_magi,Support,Offlane,dire,1014,960,5268,-5268,53478,-9.85,-21.85,2,10-15%,0.1871,0,-0.1871
8716600745,ogre_magi,Support,Safelane,dire,1102,1050,286,-286,60698,-0.47,-0.95,9,45-50%,0.4998,1,0.5002
8716600848,obsidian_destroyer,Core,Mid,dire,427,390,1203,-1203,20401,-5.9,-12.53,3,15-20%,0.3433,1,0.6567
8716600886,razor,Core,Mid,radiant,998,960,-4326,-4326,42644,-10.14,-22.58,3,15-20%,0.254,0,-0.254
8716600905,invoker,Core,Offlane,dire,1190,1140,6055,-6055,63957,-9.47,-20.91,3,15-20%,0.2217,0,-0.2217
8716600925,ogre_magi,Core,Offlane,dire,759,720,538,-538,38254,-1.41,-2.85,8,40-45%,0.4608,0,-0.4608
8716600935,ogre_magi,Support,Offlane,dire,856,810,-10559,10559,47241,22.35,36.54,19,95-100%,0.9219,1,0.0781
8716601048,invoker,Core,Mid,radiant,780,750,1096,1096,36652,2.99,5.81,11,55-60%,0.5738,1,0.4262
8716601092,invoker,Core,Mid,dire,651,600,2220,-2220,31916,-6.96,-14.95,3,15-20%,0.3123,1,0.6877
8716601107,invoker,Core,Mid,dire,732,690,3150,-3150,36506,-8.63,-18.89,2,10-15%,0.2463,0,-0.2463
8716601262,techies,Core,Jungle,radiant,1058,1020,-567,-567,63781,-0.89,-1.79,8,40-45%,0.4484,0,-0.4484
8716601263,ogre_magi,Support,Safelane,dire,1277,1230,-3704,3704,69082,5.36,10.18,13,65-70%,0.6832,1,0.3168
