match_id,hero,role,lane,role_cat,midas_team,buy_sec,ref_bucket,personal_nw_adv,band,band_label,expected_win,actual_win,delta
8731600519,ogre_magi,Support,Offlane,support,dire,836,780,-131,8,Even,0.479606,1,0.520394
8731600561,ogre_magi,Support,Safelane,support,dire,1419,1380,-2491,2,Very Behind,0.291874,0,-0.291874
8731600590,silencer,Core,Offlane,offlane,dire,754,720,473,13,Ahead,0.560711,1,0.439289
8731600606,ogre_magi,Support,Safelane,support,radiant,1442,1410,-1253,5,Behind,0.359292,0,-0.359292
8731600608,ogre_magi,Support,Offlane,support,dire,1208,1170,-676,6,Behind,0.423182,0,-0.423182
8731600638,ogre_magi,Support,Safelane,support,dire,1293,1260,554,12,Ahead,0.566598,1,0.433402
8731600685,lion,Support,Offlane,support,dire,1388,1350,-2541,1,Very Behind,0.256121,0,-0.256121
8731600687,ogre_magi,Core,Offlane,offlane,radiant,908,870,-672,6,Behind,0.415076,0,-0.415076
8731600707,obsidian_destroyer,Core,Mid,mid,radiant,651,600,1050,16,Very Ahead,0.617918,0,-0.617918
8731600734,ogre_magi,Support,Offlane,support,dire,1395,1350,-1890,3,Very Behind,0.330533,1,0.669467
8731600759,ogre_magi,Core,Mid,mid,dire,1445,1410,847,11,Even,0.547453,1,0.452547
8731600760,dazzle,Support,Offlane,support,radiant,1051,1020,706,14,Ahead,0.574562,1,0.425438
8731600776,ogre_magi,Core,Offlane,offlane,radiant,933,900,-3586,0,Very Behind,0.164857,1,0.835143
8731600783,invoker,Core,Mid,mid,radiant,833,780,-1296,4,Behind,0.39584,1,0.60416
